title,heat_index,platform,trend,summary,url,published_at
AI避坑指南,923329,douyin,falling,这是关于AI避坑指南的热点摘要...,https://example.com/topic/3,2026-04-20 10:40:00.878335
AI数据报告,846615,douyin,rising,这是关于AI数据报告的热点摘要...,https://example.com/topic/7,2026-04-16 10:40:00.878335
AI增长秘籍,662348,douyin,rising,这是关于AI增长秘籍的热点摘要...,https://example.com/topic/8,2026-04-15 10:40:00.878335
AI入门教程,632763,douyin,falling,这是关于AI入门教程的热点摘要...,https://example.com/topic/4,2026-04-14 10:40:00.878335
AI运营技巧,623603,douyin,stable,这是关于AI运营技巧的热点摘要...,https://example.com/topic/5,2026-04-19 10:40:00.878335
关于AI的真相,591824,douyin,stable,这是关于关于AI的真相的热点摘要...,https://example.com/topic/9,2026-04-19 10:40:00.878335
AI行业新趋势,544459,douyin,rising,这是关于AI行业新趋势的热点摘要...,https://example.com/topic/0,2026-04-18 10:40:00.878335
AI怎么做,457969,douyin,rising,这是关于AI怎么做的热点摘要...,https://example.com/topic/2,2026-04-15 10:40:00.878335
2024最新AI玩法,421146,douyin,falling,这是关于2024最新AI玩法的热点摘要...,https://example.com/topic/6,2026-04-14 10:40:00.878335
AI爆款内容分析,116709,douyin,rising,这是关于AI爆款内容分析的热点摘要...,https://example.com/topic/1,2026-04-19 10:40:00.878335
关于AI的真相,941571,weibo,rising,这是关于关于AI的真相的热点摘要...,https://example.com/topic/9,2026-04-16 10:40:00.878335
AI行业新趋势,639002,weibo,rising,这是关于AI行业新趋势的热点摘要...,https://example.com/topic/0,2026-04-20 10:40:00.878335
AI避坑指南,605688,weibo,rising,这是关于AI避坑指南的热点摘要...,https://example.com/topic/3,2026-04-18 10:40:00.878335
2024最新AI玩法,576737,weibo,falling,这是关于2024最新AI玩法的热点摘要...,https://example.com/topic/6,2026-04-18 10:40:00.878335
AI入门教程,426860,weibo,falling,这是关于AI入门教程的热点摘要...,https://example.com/topic/4,2026-04-14 10:40:00.878335
AI怎么做,390557,weibo,stable,这是关于AI怎么做的热点摘要...,https://example.com/topic/2,2026-04-18 10:40:00.878335
AI运营技巧,272614,weibo,falling,这是关于AI运营技巧的热点摘要...,https://example.com/topic/5,2026-04-14 10:40:00.878335
AI爆款内容分析,79943,weibo,rising,这是关于AI爆款内容分析的热点摘要...,https://example.com/topic/1,2026-04-15 10:40:00.878335
AI增长秘籍,75692,weibo,rising,这是关于AI增长秘籍的热点摘要...,https://example.com/topic/8,2026-04-15 10:40:00.878335
AI数据报告,54982,weibo,rising,这是关于AI数据报告的热点摘要...,https://example.com/topic/7,2026-04-20 10:40:00.878335
AI怎么做,973111,xiaohongshu,rising,这是关于AI怎么做的热点摘要...,https://example.com/topic/2,2026-04-14 10:40:00.878335
关于AI的真相,963843,xiaohongshu,rising,这是关于关于AI的真相的热点摘要...,https://example.com/topic/9,2026-04-17 10:40:00.878335
AI运营技巧,851677,xiaohongshu,falling,这是关于AI运营技巧的热点摘要...,https://example.com/topic/5,2026-04-21 10:40:00.878335
AI爆款内容分析,851397,xiaohongshu,falling,这是关于AI爆款内容分析的热点摘要...,https://example.com/topic/1,2026-04-19 10:40:00.878335
AI避坑指南,721320,xiaohongshu,stable,这是关于AI避坑指南的热点摘要...,https://example.com/topic/3,2026-04-15 10:40:00.878335
2024最新AI玩法,618011,xiaohongshu,rising,这是关于2024最新AI玩法的热点摘要...,https://example.com/topic/6,2026-04-18 10:40:00.878335
AI增长秘籍,369253,xiaohongshu,stable,这是关于AI增长秘籍的热点摘要...,https://example.com/topic/8,2026-04-17 10:40:00.878335
AI入门教程,275882,xiaohongshu,stable,这是关于AI入门教程的热点摘要...,https://example.com/topic/4,2026-04-14 10:40:00.878335
AI行业新趋势,67440,xiaohongshu,falling,这是关于AI行业新趋势的热点摘要...,https://example.com/topic/0,2026-04-17 10:40:00.878335
AI数据报告,10031,xiaohongshu,falling,这是关于AI数据报告的热点摘要...,https://example.com/topic/7,2026-04-16 10:40:00.878335
